rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
99,frame_0202.jpg,80.8,0.499,0.6079,0.25,0.6,4,2,False,False
100,frame_0379.jpg,151.6,0.4976,0.5293,0.75,0.04,11,6,False,False
101,frame_0068.jpg,27.2,0.4966,0.4432,0.25,1.0,7,2,False,False
102,frame_0122.jpg,48.8,0.4913,0.5176,0.375,0.6,3,3,False,False
103,frame_0173.jpg,69.2,0.4908,0.6126,0.375,0.36,6,3,False,False
104,frame_0096.jpg,38.4,0.4904,0.5579,0.625,0.12,7,5,False,False
105,frame_0213.jpg,85.2,0.4875,0.5259,0.375,0.56,4,3,False,False
106,frame_0210.jpg,84.0,0.4861,0.5501,0.25,0.68,3,2,False,False
107,frame_0010.jpg,4.0,0.4852,0.4953,0.125,1.0,2,1,False,False
108,frame_0022.jpg,8.8,0.4848,0.3446,0.375,1.0,5,3,False,False
109,frame_0275.jpg,110.0,0.4839,0.5879,0.5,0.2,7,4,False,False
110,frame_0320.jpg,128.0,0.4806,0.4902,0.625,0.24,7,5,False,False
111,frame_0081.jpg,32.4,0.4798,0.4467,0.375,0.72,5,3,False,False
112,frame_0268.jpg,107.2,0.4798,0.4777,0.75,0.08,6,6,False,False
113,frame_0188.jpg,75.2,0.4792,0.5673,0.625,0.04,5,5,False,False
114,frame_0106.jpg,42.4,0.4778,0.7146,0.375,0.04,5,3,False,False
115,frame_0185.jpg,74.0,0.4778,0.6235,0.5,0.08,9,4,False,False
116,frame_0025.jpg,10.0,0.4762,0.5523,0.0,1.0,2,0,False,False
117,frame_0174.jpg,69.6,0.4748,0.5965,0.375,0.32,4,3,False,False
118,frame_0209.jpg,83.6,0.4744,0.5107,0.25,0.72,3,2,False,False
119,frame_0115.jpg,46.0,0.4734,0.5938,0.375,0.32,6,3,False,False
120,frame_0129.jpg,51.6,0.4732,0.5195,0.125,0.88,7,1,False,False
121,frame_0398.jpg,159.2,0.4726,0.5493,0.5,0.24,10,4,False,False
122,frame_0289.jpg,115.6,0.4721,0.5652,0.125,0.76,8,1,False,False
123,frame_0011.jpg,4.4,0.4711,0.3921,0.25,1.0,4,2,False,False
124,frame_0121.jpg,48.4,0.471,0.568,0.25,0.56,4,2,False,False
125,frame_0086.jpg,34.4,0.4699,0.4319,0.5,0.52,6,4,False,False
126,frame_0274.jpg,109.6,0.4677,0.7214,0.25,0.16,5,2,False,False
127,frame_0003.jpg,1.2,0.4657,0.4564,0.125,1.0,6,1,False,False
128,frame_0169.jpg,67.6,0.4653,0.4976,0.375,0.52,6,3,False,False
129,frame_0317.jpg,126.8,0.4638,0.5476,0.5,0.2,6,4,False,False
130,frame_0125.jpg,50.0,0.4637,0.4895,0.25,0.72,5,2,False,False
131,frame_0082.jpg,32.8,0.4624,0.4278,0.375,0.68,6,3,False,False
132,frame_0225.jpg,90.0,0.4592,0.5114,0.625,0.08,8,5,False,False
133,frame_0094.jpg,37.6,0.4545,0.529,0.5,0.2,7,4,False,False
134,frame_0017.jpg,6.8,0.4504,0.4257,0.125,1.0,4,1,False,False
135,frame_0203.jpg,81.2,0.4438,0.4066,0.375,0.64,5,3,False,False
136,frame_0192.jpg,76.8,0.4408,0.5766,0.375,0.2,6,3,False,False
137,frame_0186.jpg,74.4,0.4394,0.4878,0.625,0.04,9,5,False,False
138,frame_0005.jpg,2.0,0.4393,0.3285,0.25,1.0,4,2,False,False
139,frame_0315.jpg,126.0,0.4389,0.5298,0.5,0.12,8,4,False,False
140,frame_0069.jpg,27.6,0.4373,0.3246,0.25,1.0,5,2,False,False
